Hello World,r
Hello CodeEval,E
AIEJ Tq0R9PN103BkXMMqJFSPgiCkSQ4ynko7QgcGazTUcj, 
UEAJdGO BH7uznNH9xnKZx xtj213TfLWz hf3UMiJ732GPq4lD,y
7wKixq3Bj6S50xp7UuiIwfFAnivqA,B
wPIuAEkr98xzndA4PfuoypaDr2YKRQ gSK8vIlsY5 JAmIoLpYYnRWJeULI,u
fODMthLr8SJJW9Un1ucLN6444wXTuoSmTr,S
H1CI7u3ScLhOrShkK8YfD21NzXMIFhzLm5Y5irurwpsAr3M77 Sq uSol4WnBACCBOf8,H
6kVOx60c8JVPX 5iFMEuQY4T4OmLolagshqOzEMG6Q703pSg,N
a1OCjqyWKflWs4elRdyu99NhPweyJ9dtrlK9CmqV1SGbFNEvKdCShZjClseGXlp7bS8Wc5saHpV0,f
PDqU9ENMZtOW972x96zbRH,o
oBJoI011h8MM9PL5K0eQ2sQMob15XPFpIrTTiIrXmADIyQoj1qVIBzcGu j3nXgQJiodcIB6,h
Are you there,z
How to learn to Cook,C
What is your name,m
Itjm664wza8Ddwujo2COWn5DZShiXwAef7qQ4dFp ,7
aQ6h1zXnckfrGpDW3Xdw FI2Ll23N3LTgZJGYASON3ZE12f9bp0uMXlP,o
230BexKGmItoqcqZYfxVDMcQHHk1MiQup3zB8hiIizRMww,H
O  kkJkyNJEPFg0SfBydmfo5SQRDNcR5WyTvu7DEoOPQTzv5MPAJg0 3vtzGipSA,z
Z2L t 0taeUhjtrXaXZIx9Yre9FOJKuXCDMAAPiFfeu0htNtWK1G5yM0aDpE0KD,3
